source_abs;target_abs;kind;collision;status;detail
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/9.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e09.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/10.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e10.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/11.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e11.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/12.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e12.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/13.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e13.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/14.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e14.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/15.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e15.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/16.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e16.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/17.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e17.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/18.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e18.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/19.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e19.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/1.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e01.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/20.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e20.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/21.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e21.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/22.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e22.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/23.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e23.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/24.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e24.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/25.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e25.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/26.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e26.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/27.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e27.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/28.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e28.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/2.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e02.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/3.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e03.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/4.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e04.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/5.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e05.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/6.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e06.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/7.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e07.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/8.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e08.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S02/9.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 02/Paw Patrol (2013) - s02e09.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/10.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e10.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/11.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e11.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/12.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e12.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/13.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e13.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/14.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e14.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/15.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e15.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/16.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e16.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/17.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e17.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/18.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e18.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/19.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e19.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/1.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e01.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/20.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e20.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/21.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e21.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/22.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e22.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/23.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e23.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/24.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e24.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/25.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e25.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/26.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e26.mkv;tv_show;no;skipped_missing_source;source not found
